name,community,,Total:,  Male:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over,  Female:,    Under 5 years,    5 to 9 years,    10 to 14 years,    15 to 17 years,    18 and 19 years,    20 years,    21 years,    22 to 24 years,    25 to 29 years,    30 to 34 years,    35 to 39 years,    40 to 44 years,    45 to 49 years,    50 to 54 years,    55 to 59 years,    60 and 61 years,    62 to 64 years,    65 and 66 years,    67 to 69 years,    70 to 74 years,    75 to 79 years,    80 to 84 years,    85 years and over
"Miami-Dade County, Florida",Miami,Estimate,2474676,1198400,77130,74644,76143,50771,35579,19751,19024,50442,85022,82335,90452,95409,94882,79045,67118,24049,32688,18907,25820,36394,28031,20243,14521,1276276,73989,70943,73310,48357,34174,18357,17457,51247,86158,84773,90105,97281,98428,86718,77234,27495,37735,21353,32668,48167,38227,30501,31599
,,Margin of Error,*****,+/-211,+/-148,"+/-1,583","+/-1,578",+/-73,+/-6,"+/-1,167","+/-1,014","+/-1,330",+/-106,+/-116,"+/-2,012","+/-2,002",+/-71,+/-71,"+/-1,325","+/-1,120","+/-1,264",+/-879,+/-986,"+/-1,030","+/-1,000",+/-862,+/-955,+/-211,+/-94,"+/-1,741","+/-1,753",+/-39,+/-50,"+/-1,124","+/-1,081","+/-1,258",+/-123,+/-63,"+/-1,825","+/-1,828",+/-97,+/-4,"+/-1,564","+/-1,275","+/-1,158",+/-954,"+/-1,345","+/-1,159","+/-1,328","+/-1,194","+/-1,167"
"Palm Beach County, Florida",Palm Beach ,Estimate,1309401,634124,36086,36682,39210,25011,16109,8980,7335,21707,37426,35356,38790,44439,46607,43856,38403,14773,20048,12637,18279,25944,24865,21946,19635,675277,34673,36912,35790,23580,14884,7724,7511,19444,35856,35596,41049,44632,48326,46173,44212,16677,23164,15979,21965,32542,31803,28457,28328
,,Margin of Error,*****,+/-112,+/-63,+/-893,+/-893,+/-85,+/-68,+/-688,+/-602,+/-755,+/-83,+/-49,"+/-1,122","+/-1,131",+/-16,+/-47,+/-900,+/-851,+/-850,+/-720,+/-825,+/-908,+/-887,+/-830,+/-833,+/-112,+/-90,"+/-1,054","+/-1,042",+/-45,+/-61,+/-667,+/-562,+/-767,+/-93,+/-63,"+/-1,229","+/-1,219",+/-32,+/-4,"+/-1,018",+/-845,"+/-1,026",+/-873,+/-927,"+/-1,031",+/-977,+/-847,+/-886
"Jasper County, Indiana",Gary,Estimate,33254,16565,1086,1122,1456,755,522,402,135,490,1019,1091,826,1233,1269,1174,975,385,577,295,372,603,425,239,114,16689,1120,1251,1038,697,438,388,197,517,797,1070,1115,1050,1245,1207,1070,376,551,290,495,574,425,380,398
,,Margin of Error,*****,+/-91,+/-57,+/-166,+/-179,+/-17,+/-19,+/-144,+/-78,+/-113,+/-101,+/-104,+/-160,+/-148,+/-54,+/-12,+/-146,+/-118,+/-132,+/-94,+/-104,+/-113,+/-66,+/-62,+/-47,+/-91,+/-62,+/-194,+/-159,+/-26,+/-17,+/-142,+/-82,+/-146,+/-12,+/-77,+/-158,+/-143,+/-30,+/-50,+/-111,+/-91,+/-111,+/-87,+/-116,+/-110,+/-101,+/-96,+/-89
"Lake County, Indiana",Gary,Estimate,495272,239031,17160,18188,18341,11503,6938,2909,2996,8711,15384,14978,15334,15407,17610,18177,15504,5740,6865,3767,4714,6813,5341,3896,2755,256241,16447,18092,17029,11112,6573,3204,2955,8637,16394,16002,16502,16263,18834,19511,16981,6036,7384,4756,6115,7975,7271,6276,5892
,,Margin of Error,*****,+/-88,+/-40,+/-608,+/-602,+/-66,+/-69,+/-358,+/-409,+/-464,+/-30,+/-33,+/-648,+/-645,+/-29,+/-29,+/-510,+/-374,+/-520,+/-281,+/-322,+/-367,+/-363,+/-309,+/-260,+/-88,+/-29,+/-630,+/-629,+/-66,+/-70,+/-339,+/-383,+/-415,+/-15,+/-63,+/-612,+/-612,+/-17,+/-4,+/-505,+/-445,+/-463,+/-404,+/-391,+/-419,+/-400,+/-450,+/-415
"Newton County, Indiana",Gary,Estimate,14270,7210,381,511,484,328,208,140,13,231,358,427,345,551,623,611,543,136,272,165,272,240,200,123,48,7060,421,457,462,296,186,53,60,180,372,355,452,433,578,554,482,152,313,161,178,310,206,169,230
