name,community,,Total population in occupied housing units:,  Owner occupied:,    Moved in 2005 or later,    Moved in 2000 to 2004,    Moved in 1990 to 1999,    Moved in 1980 to 1989,    Moved in 1970 to 1979,    Moved in 1969 or earlier,  Renter occupied:,    Moved in 2005 or later,    Moved in 2000 to 2004,    Moved in 1990 to 1999,    Moved in 1980 to 1989,    Moved in 1970 to 1979,    Moved in 1969 or earlier
"Miami-Dade County, Florida",Miami,Estimate,2417770,1461832,321670,397461,420251,180553,98678,43219,955938,683648,170923,74702,18487,6041,2137
,,Margin of Error,"+/-2,910","+/-11,778","+/-7,154","+/-9,520","+/-9,362","+/-5,321","+/-3,815","+/-2,380","+/-11,970","+/-11,150","+/-6,319","+/-3,853","+/-1,572",+/-845,+/-561
"Palm Beach County, Florida",Palm Beach ,Estimate,1290346,918361,230643,289232,262650,94949,29324,11563,371985,298833,44686,21977,4651,1496,342
,,Margin of Error,"+/-1,452","+/-6,966","+/-5,923","+/-6,091","+/-5,419","+/-3,156","+/-1,583",+/-947,"+/-6,899","+/-7,080","+/-2,483","+/-1,901",+/-932,+/-628,+/-138
"Jasper County, Indiana",Gary,Estimate,32096,25391,7624,4574,7848,2431,2015,899,6705,4452,1380,636,141,68,28
,,Margin of Error,+/-204,+/-762,+/-756,+/-701,+/-750,+/-490,+/-349,+/-227,+/-788,+/-737,+/-452,+/-234,+/-115,+/-53,+/-33
"Lake County, Indiana",Gary,Estimate,489298,355912,82924,82877,88272,41270,33273,27296,133386,97589,22403,8411,3082,1111,790
,,Margin of Error,+/-556,"+/-3,320","+/-3,143","+/-2,392","+/-2,871","+/-2,182","+/-2,074","+/-1,535","+/-3,342","+/-3,157","+/-1,960",+/-962,+/-511,+/-383,+/-244
"Newton County, Indiana",Gary,Estimate,14123,11575,2041,2761,3545,1511,1137,580,2548,1946,319,233,35,5,10
,,Margin of Error,+/-85,+/-411,+/-368,+/-526,+/-568,+/-356,+/-273,+/-198,+/-399,+/-351,+/-135,+/-131,+/-28,+/-9,+/-11
"Porter County, Indiana",Gary,Estimate,159985,128328,33253,32331,33760,13850,10319,4815,31657,22958,5693,2475,312,151,68
,,Margin of Error,+/-494,"+/-1,883","+/-2,211","+/-2,068","+/-2,128","+/-1,269","+/-1,008",+/-580,"+/-1,827","+/-1,672",+/-971,+/-661,+/-174,+/-78,+/-50
"Bucks County, Pennsylvania",Philadelphia,Estimate,615616,511418,98149,118045,149330,70025,41261,34608,104198,66153,21408,12176,2559,1123,779
,,Margin of Error,+/-860,"+/-3,215","+/-3,424","+/-3,861","+/-3,213","+/-2,637","+/-1,888","+/-1,644","+/-3,169","+/-2,808","+/-1,935","+/-1,211",+/-451,+/-438,+/-268
"Chester County, Pennsylvania",Philadelphia,Estimate,481267,385511,92250,103909,106459,44729,21433,16731,95756,70038,16067,6263,2136,739,513
,,Margin of Error,"+/-1,710","+/-2,908","+/-2,869","+/-3,402","+/-3,034","+/-2,024","+/-1,151","+/-1,084","+/-2,994","+/-3,126","+/-1,380",+/-864,+/-426,+/-245,+/-229
"Delaware County, Pennsylvania",Philadelphia,Estimate,534533,405713,82844,91500,107139,56867,32779,34584,128820,84177,26080,13047,2814,1664,1038
,,Margin of Error,"+/-1,391","+/-3,408","+/-2,651","+/-3,012","+/-3,524","+/-2,427","+/-1,566","+/-1,253","+/-3,345","+/-2,992","+/-1,797","+/-1,202",+/-433,+/-491,+/-286
"Montgomery County, Pennsylvania",Philadelphia,Estimate,774470,612800,131105,148900,171415,81263,42540,37577,161670,111894,28843,14444,3961,1346,1182
,,Margin of Error,"+/-1,181","+/-4,347","+/-4,139","+/-3,794","+/-4,078","+/-2,626","+/-1,825","+/-1,561","+/-4,067","+/-3,319","+/-2,029","+/-1,169",+/-615,+/-408,+/-253
"Philadelphia County, Pennsylvania",Philadelphia,Estimate,1464570,857098,174000,170299,207065,117595,88395,99744,607472,401442,110250,58762,19066,10281,7671
,,Margin of Error,"+/-2,644","+/-10,011","+/-5,176","+/-5,627","+/-6,118","+/-4,419","+/-2,986","+/-3,514","+/-10,028","+/-8,339","+/-5,128","+/-3,821","+/-2,041","+/-1,551","+/-1,010"
