name,community,,Total:,  Entered 2000 or later:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered 1990 to 1999:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered 1980 to 1989:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen,  Entered before 1980:,    Native,    Foreign born:,      Naturalized U.S. citizen,      Not a U.S. citizen
"Miami-Dade County, Florida",Miami,Estimate,1349269,404793,19944,384849,47917,336932,325820,19611,306209,133326,172883,277064,14847,262217,172143,90074,341592,28014,313578,276991,36587
,,Margin of Error,"+/-6,895","+/-7,519","+/-1,558","+/-7,431","+/-2,405","+/-7,072","+/-5,519","+/-1,514","+/-5,427","+/-3,565","+/-4,933","+/-5,004","+/-1,178","+/-4,719","+/-3,770","+/-3,281","+/-4,909","+/-1,475","+/-4,682","+/-4,352","+/-1,734"
"Palm Beach County, Florida",Palm Beach ,Estimate,316420,104490,6278,98212,11846,86366,81691,5745,75946,32345,43601,56376,4197,52179,31915,20264,73863,10671,63192,53449,9743
,,Margin of Error,"+/-3,714","+/-3,031",+/-875,"+/-2,785",+/-983,"+/-2,612","+/-2,471",+/-711,"+/-2,427","+/-1,458","+/-1,971","+/-2,010",+/-465,"+/-1,946","+/-1,192","+/-1,263","+/-1,908",+/-784,"+/-1,869","+/-1,512",+/-892
"Jasper County, Indiana",Gary,Estimate,823,293,67,226,22,204,304,2,302,61,241,68,35,33,2,31,158,10,148,124,24
,,Margin of Error,+/-196,+/-100,+/-49,+/-105,+/-27,+/-101,+/-180,+/-4,+/-180,+/-54,+/-169,+/-43,+/-35,+/-29,+/-4,+/-28,+/-70,+/-16,+/-70,+/-62,+/-28
"Lake County, Indiana",Gary,Estimate,37628,9495,789,8706,1690,7016,8351,570,7781,2850,4931,5192,539,4653,2877,1776,14590,2588,12002,10169,1833
,,Margin of Error,"+/-1,397","+/-1,024",+/-271,"+/-1,008",+/-530,+/-854,+/-787,+/-173,+/-790,+/-408,+/-727,+/-608,+/-224,+/-535,+/-400,+/-370,+/-805,+/-382,+/-778,+/-705,+/-337
"Newton County, Indiana",Gary,Estimate,442,106,11,95,6,89,72,0,72,30,42,98,0,98,26,72,166,13,153,134,19
,,Margin of Error,+/-118,+/-57,+/-20,+/-50,+/-9,+/-51,+/-81,+/-89,+/-81,+/-40,+/-58,+/-53,+/-89,+/-53,+/-26,+/-43,+/-88,+/-15,+/-86,+/-86,+/-17
"Porter County, Indiana",Gary,Estimate,6897,1596,110,1486,275,1211,1354,208,1146,667,479,821,42,779,475,304,3126,700,2426,1934,492
