name,community,,Total:,  Less than high school graduate:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  High school graduate:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  Some college or associate's degree:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force,  Bachelor's degree or higher:,    In labor force:,      In Armed Forces,      Civilian:,        Employed,        Unemployed,    Not in labor force
"Miami-Dade County, Florida",Miami,Estimate,1336927,228491,148175,0,148175,129079,19096,80316,382229,290486,212,290274,259492,30782,91743,348510,284415,502,283913,258857,25056,64095,377697,324924,738,324186,307489,16697,52773
,,Margin of Error,+/-216,"+/-4,175","+/-3,532",+/-104,"+/-3,532","+/-3,382","+/-1,216","+/-2,514","+/-5,216","+/-4,611",+/-119,"+/-4,611","+/-4,363","+/-1,522","+/-2,693","+/-4,528","+/-4,007",+/-178,"+/-3,977","+/-3,904","+/-1,252","+/-1,889","+/-4,965","+/-4,642",+/-206,"+/-4,640","+/-4,388","+/-1,236","+/-1,736"
"Palm Beach County, Florida",Palm Beach ,Estimate,655383,82285,59161,10,59151,49815,9336,23124,161838,124026,84,123942,110462,13480,37812,195794,159394,152,159242,145867,13375,36400,215466,179445,91,179354,169163,10191,36021
,,Margin of Error,+/-179,"+/-2,528","+/-1,973",+/-17,"+/-1,971","+/-1,779",+/-869,"+/-1,458","+/-3,398","+/-2,877",+/-59,"+/-2,880","+/-2,823",+/-768,"+/-1,824","+/-3,032","+/-2,561",+/-98,"+/-2,580","+/-2,533","+/-1,056","+/-1,449","+/-3,032","+/-2,932",+/-61,"+/-2,921","+/-2,960",+/-728,"+/-1,104"
"Jasper County, Indiana",Gary,Estimate,17030,1557,1006,0,1006,852,154,551,7264,5532,0,5532,5200,332,1732,5522,4686,0,4686,4304,382,836,2687,2230,0,2230,2198,32,457
,,Margin of Error,+/-120,+/-236,+/-200,+/-89,+/-200,+/-174,+/-80,+/-131,+/-464,+/-414,+/-89,+/-414,+/-419,+/-119,+/-227,+/-463,+/-419,+/-89,+/-419,+/-422,+/-134,+/-183,+/-396,+/-348,+/-89,+/-348,+/-345,+/-27,+/-134
"Lake County, Indiana",Gary,Estimate,258906,28163,15240,0,15240,12743,2497,12923,90293,65598,20,65578,58529,7049,24695,85438,69352,80,69272,63622,5650,16086,55012,47866,58,47808,45457,2351,7146
,,Margin of Error,+/-71,"+/-1,207",+/-879,+/-89,+/-879,+/-841,+/-326,+/-828,"+/-1,846","+/-1,572",+/-32,"+/-1,575","+/-1,531",+/-558,"+/-1,160","+/-1,995","+/-1,738",+/-51,"+/-1,736","+/-1,673",+/-519,+/-801,"+/-1,612","+/-1,425",+/-47,"+/-1,427","+/-1,295",+/-396,+/-596
"Newton County, Indiana",Gary,Estimate,7557,737,387,0,387,308,79,350,3803,2959,0,2959,2656,303,844,2342,1802,0,1802,1767,35,540,675,592,0,592,578,14,83
,,Margin of Error,+/-67,+/-145,+/-103,+/-89,+/-103,+/-84,+/-51,+/-93,+/-233,+/-233,+/-89,+/-233,+/-234,+/-117,+/-148,+/-222,+/-227,+/-89,+/-227,+/-230,+/-32,+/-143,+/-119,+/-114,+/-89,+/-114,+/-112,+/-22,+/-45
"Porter County, Indiana",Gary,Estimate,88479,5482,3307,0,3307,2879,428,2175,29821,22388,74,22314,20644,1670,7433,29234,23574,26,23548,21816,1732,5660,23942,20506,37,20469,19663,806,3436
,,Margin of Error,+/-213,+/-521,+/-392,+/-89,+/-392,+/-367,+/-170,+/-319,"+/-1,033",+/-939,+/-76,+/-947,+/-887,+/-291,+/-584,+/-896,+/-883,+/-31,+/-892,+/-806,+/-272,+/-452,+/-978,+/-900,+/-36,+/-895,+/-905,+/-165,+/-411
"Bucks County, Pennsylvania",Philadelphia,Estimate,342718,15966,10124,0,10124,8863,1261,5842,102002,80182,46,80136,74177,5959,21820,94542,80375,304,80071,75906,4165,14167,130208,113670,317,113353,109059,4294,16538
,,Margin of Error,+/-92,+/-828,+/-609,+/-81,+/-609,+/-580,+/-272,+/-546,"+/-2,035","+/-1,912",+/-57,"+/-1,913","+/-1,805",+/-495,+/-968,"+/-1,795","+/-1,599",+/-121,"+/-1,589","+/-1,537",+/-447,+/-723,"+/-2,008","+/-2,011",+/-139,"+/-1,993","+/-1,918",+/-469,+/-820
"Chester County, Pennsylvania",Philadelphia,Estimate,265198,15420,10166,0,10166,9276,890,5254,56384,45260,42,45218,42093,3125,11124,56744,47608,126,47482,44909,2573,9136,136650,117778,48,117730,114041,3689,18872
,,Margin of Error,+/-63,+/-821,+/-674,+/-81,+/-674,+/-620,+/-253,+/-528,"+/-1,617","+/-1,442",+/-37,"+/-1,445","+/-1,360",+/-412,+/-656,"+/-1,195","+/-1,185",+/-81,"+/-1,189","+/-1,183",+/-317,+/-682,"+/-1,654","+/-1,533",+/-46,"+/-1,541","+/-1,576",+/-422,+/-737
"Delaware County, Pennsylvania",Philadelphia,Estimate,289154,18651,11163,0,11163,9518,1645,7488,84742,65387,27,65360,59806,5554,19355,76353,64060,71,63989,59532,4457,12293,109408,95759,114,95645,91767,3878,13649
,,Margin of Error,+/-117,+/-954,+/-712,+/-81,+/-712,+/-643,+/-276,+/-659,"+/-1,591","+/-1,519",+/-21,"+/-1,520","+/-1,378",+/-554,+/-912,"+/-1,396","+/-1,228",+/-63,"+/-1,215","+/-1,224",+/-390,+/-686,"+/-1,800","+/-1,783",+/-65,"+/-1,791","+/-1,770",+/-414,+/-666
"Montgomery County, Pennsylvania",Philadelphia,Estimate,431182,19478,12660,0,12660,11409,1251,6818,99723,79881,72,79809,74072,5737,19842,101942,86084,131,85953,81333,4620,15858,210039,185383,200,185183,178927,6256,24656
,,Margin of Error,+/-127,+/-890,+/-810,+/-81,+/-810,+/-792,+/-257,+/-509,"+/-1,783","+/-1,732",+/-52,"+/-1,736","+/-1,574",+/-501,+/-947,"+/-1,984","+/-1,866",+/-70,"+/-1,857","+/-1,812",+/-494,+/-852,"+/-2,448","+/-2,444",+/-76,"+/-2,436","+/-2,293",+/-544,+/-983
"Philadelphia County, Pennsylvania",Philadelphia,Estimate,787728,128415,60899,0,60899,49020,11879,67516,272532,190124,83,190041,163705,26336,82408,190901,148494,229,148265,133120,15145,42407,195880,170880,317,170563,162235,8328,25000
,,Margin of Error,+/-196,"+/-2,409","+/-2,125",+/-81,"+/-2,125","+/-2,058",+/-968,"+/-1,814","+/-3,952","+/-3,462",+/-85,"+/-3,446","+/-3,283","+/-1,448","+/-2,434","+/-3,389","+/-3,156",+/-95,"+/-3,166","+/-2,982",+/-873,"+/-1,518","+/-3,422","+/-3,391",+/-122,"+/-3,397","+/-3,297",+/-674,"+/-1,328"
"Long Beach city, California",Long Beach,Estimate,247555,49858,32913,0,32913,28969,3944,16945,46887,35597,26,35571,31278,4293,11290,78582,63839,208,63631,57691,5940,14743,72228,63035,112,62923,59564,3359,9193
,,Margin of Error,"+/-1,767","+/-1,506","+/-1,336",+/-95,"+/-1,336","+/-1,213",+/-463,+/-858,"+/-1,483","+/-1,430",+/-39,"+/-1,431","+/-1,364",+/-482,+/-688,"+/-1,905","+/-1,916",+/-135,"+/-1,918","+/-1,895",+/-588,+/-803,"+/-1,653","+/-1,560",+/-58,"+/-1,551","+/-1,501",+/-402,+/-654
"San Jose-Sunnyvale-Santa Clara, CA Metro Area; California",San Jose,Estimate,1016417,125317,87710,0,87710,77944,9766,37607,158763,121666,61,121605,108529,13076,37097,257042,206959,359,206600,187718,18882,50083,475295,400887,210,400677,379379,21298,74408
,,Margin of Error,+/-126,"+/-3,163","+/-2,534",+/-95,"+/-2,534","+/-2,595",+/-672,"+/-1,404","+/-3,637","+/-2,979",+/-55,"+/-2,983","+/-2,659",+/-937,"+/-1,509","+/-3,500","+/-3,032",+/-151,"+/-3,012","+/-2,928",+/-969,"+/-1,419","+/-3,829","+/-3,448",+/-106,"+/-3,453","+/-3,372",+/-995,"+/-1,665"
"Boulder, CO Metro Area; Colorado",Boulder,Estimate,158687,9587,6985,0,6985,6306,679,2602,18342,14162,0,14162,12942,1220,4180,36186,29378,64,29314,27245,2069,6808,94572,80651,111,80540,77558,2982,13921
,,Margin of Error,+/-164,+/-786,+/-665,+/-92,+/-665,+/-632,+/-210,+/-379,"+/-1,030",+/-911,+/-92,+/-911,+/-875,+/-243,+/-401,"+/-1,100","+/-1,030",+/-40,"+/-1,025","+/-1,030",+/-322,+/-526,"+/-1,328","+/-1,284",+/-55,"+/-1,288","+/-1,358",+/-347,+/-570
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",Bradenton,Estimate,337875,35424,25117,0,25117,21266,3851,10307,101304,75581,16,75565,66821,8744,25723,108595,85066,122,84944,77254,7690,23529,92552,71930,160,71770,67686,4084,20622
,,Margin of Error,+/-219,"+/-1,586","+/-1,303",+/-104,"+/-1,303","+/-1,098",+/-516,+/-929,"+/-2,024","+/-1,916",+/-27,"+/-1,920","+/-1,700",+/-876,"+/-1,291","+/-2,042","+/-1,751",+/-85,"+/-1,741","+/-1,521",+/-699,"+/-1,128","+/-2,174","+/-2,073",+/-142,"+/-2,053","+/-1,998",+/-529,+/-914
"Tallahassee, FL Metro Area; Florida",Tallahassee,Estimate,181201,18576,9834,0,9834,8112,1722,8742,44901,31971,57,31914,28811,3103,12930,52164,40629,159,40470,37695,2775,11535,65560,57159,158,57001,55226,1775,8401
,,Margin of Error,+/-289,"+/-1,226",+/-823,+/-104,+/-823,+/-821,+/-357,+/-903,"+/-1,407","+/-1,259",+/-53,"+/-1,270","+/-1,226",+/-453,+/-858,"+/-1,602","+/-1,534",+/-123,"+/-1,516","+/-1,379",+/-525,+/-819,"+/-1,416","+/-1,325",+/-120,"+/-1,309","+/-1,339",+/-300,+/-599
"Columbus, GA-AL Metro Area (part); Georgia",Columbus,Estimate,121974,14408,7750,96,7654,6398,1256,6658,35200,24733,1316,23417,21166,2251,10467,43965,35538,3033,32505,30309,2196,8427,28401,24247,2144,22103,21111,992,4154
,,Margin of Error,+/-696,+/-876,+/-661,+/-66,+/-652,+/-537,+/-266,+/-609,"+/-1,164",+/-998,+/-279,+/-986,+/-971,+/-406,+/-796,"+/-1,148","+/-1,024",+/-401,"+/-1,014","+/-1,041",+/-316,+/-601,"+/-1,039","+/-1,000",+/-321,+/-901,+/-899,+/-247,+/-426
"Macon, GA Metro Area; Georgia",Macon,Estimate,121069,19187,9153,0,9153,7314,1839,10034,40926,27895,30,27865,25306,2559,13031,35040,27448,64,27384,25453,1931,7592,25916,21157,70,21087,20588,499,4759
,,Margin of Error,+/-372,"+/-1,192",+/-870,+/-98,+/-870,+/-724,+/-351,+/-750,"+/-1,513","+/-1,393",+/-30,"+/-1,385","+/-1,278",+/-435,+/-939,"+/-1,057","+/-1,000",+/-56,+/-999,+/-996,+/-378,+/-640,"+/-1,078",+/-979,+/-55,+/-970,+/-944,+/-155,+/-453
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,27977,4740,1403,0,1403,1196,207,3337,10993,6416,5,6411,5772,639,4577,7175,4740,5,4735,4404,331,2435,5069,4038,0,4038,3885,153,1031
,,Margin of Error,+/-173,+/-413,+/-288,+/-98,+/-288,+/-295,+/-102,+/-374,+/-683,+/-629,+/-10,+/-630,+/-588,+/-200,+/-469,+/-648,+/-547,+/-10,+/-545,+/-507,+/-166,+/-371,+/-551,+/-470,+/-98,+/-470,+/-469,+/-111,+/-232
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,215373,20331,12220,0,12220,10163,2057,8111,65642,51112,26,51086,46197,4889,14530,72956,60771,156,60615,56217,4398,12185,56444,49649,53,49596,48151,1445,6795
,,Margin of Error,+/-165,+/-914,+/-740,+/-89,+/-740,+/-684,+/-276,+/-536,"+/-1,690","+/-1,485",+/-41,"+/-1,482","+/-1,370",+/-498,+/-785,"+/-1,470","+/-1,398",+/-87,"+/-1,408","+/-1,342",+/-449,+/-675,"+/-1,468","+/-1,453",+/-43,"+/-1,451","+/-1,417",+/-275,+/-408
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,317354,31331,20923,8,20915,18217,2698,10408,84758,65345,165,65180,59532,5648,19413,109529,90809,1209,89600,84149,5451,18720,91736,80841,782,80059,77622,2437,10895
,,Margin of Error,+/-354,"+/-1,261",+/-993,+/-12,+/-993,+/-953,+/-379,+/-853,"+/-2,155","+/-1,783",+/-81,"+/-1,775","+/-1,704",+/-604,+/-983,"+/-1,799","+/-1,641",+/-253,"+/-1,595","+/-1,518",+/-610,"+/-1,022","+/-1,816","+/-1,679",+/-220,"+/-1,635","+/-1,624",+/-266,+/-655
