name,community,X,income.pc
"Miami-Dade County, Florida",Miami,Estimate,23348.00
,,Margin of Error,+/-240
"Palm Beach County, Florida",Palm Beach ,Estimate,33960.00
,,Margin of Error,+/-484
"Jasper County, Indiana",Gary,Estimate,23546.00
,,Margin of Error,+/-709
"Lake County, Indiana",Gary,Estimate,23726.00
,,Margin of Error,+/-311
"Newton County, Indiana",Gary,Estimate,23416.00
,,Margin of Error,"+/-1,776"
"Porter County, Indiana",Gary,Estimate,28452.00
,,Margin of Error,+/-651
"Bucks County, Pennsylvania",Philadelphia,Estimate,36601.00
,,Margin of Error,+/-487
"Chester County, Pennsylvania",Philadelphia,Estimate,42042.00
,,Margin of Error,+/-630
"Delaware County, Pennsylvania",Philadelphia,Estimate,32803.00
,,Margin of Error,+/-403
"Montgomery County, Pennsylvania",Philadelphia,Estimate,41163.00
,,Margin of Error,+/-444
"Philadelphia County, Pennsylvania",Philadelphia,Estimate,21671.00
,,Margin of Error,+/-212
"Long Beach city, California",Long Beach,Estimate,26986.00
,,Margin of Error,
"San Jose-Sunnyvale-Santa Clara, CA Metro Area; California",San Jose,Estimate,40264.00
,,Margin of Error,+/-325
"Boulder, CO Metro Area; Colorado",Boulder,Estimate,37720.00
,,Margin of Error,+/-775
"North Port-Bradenton-Sarasota, FL Metro Area; Florida",Bradenton,Estimate,30718.00
,,Margin of Error,+/-427
"Tallahassee, FL Metro Area; Florida",Tallahassee,Estimate,24619.00
,,Margin of Error,+/-494
"Columbus, GA-AL Metro Area (part); Georgia",Columbus,Estimate,23618.00
,,Margin of Error,+/-482
"Macon, GA Metro Area; Georgia",Macon,Estimate,21836.00
,,Margin of Error,+/-450
"Milledgeville, GA Micro Area; Georgia",Milledgeville,Estimate,16881.00
,,Margin of Error,+/-705
"Fort Wayne, IN Metro Area; Indiana",Fort Wayne,Estimate,24816.00
,,Margin of Error,+/-343
"Wichita, KS Metro Area; Kansas",Wichita,Estimate,25679.00
,,Margin of Error,+/-300
"Lexington-Fayette, KY Metro Area; Kentucky",Lexington,Estimate,27825.00
,,Margin of Error,+/-526
"Detroit-Warren-Livonia, MI Metro Area; Michigan",Detroit,Estimate,27571.00
,,Margin of Error,+/-140
"Duluth, MN-WI Metro Area (part); Minnesota",Duluth,Estimate,25470.00
,,Margin of Error,+/-331
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area (part); Minnesota",St. Paul,Estimate,33706.00
,,Margin of Error,+/-192
"Gulfport-Biloxi, MS Metro Area; Mississippi",Biloxi,Estimate,23027.00
,,Margin of Error,+/-484
"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area (part); North Carolina",Charlotte,Estimate,29678.00
,,Margin of Error,+/-299
"Grand Forks, ND-MN Metro Area (part); North Dakota",Grand Forks,Estimate,25807.00
,,Margin of Error,+/-881
"Akron, OH Metro Area; Ohio",Akron,Estimate,26823.00
,,Margin of Error,+/-265
"State College, PA Metro Area; Pennsylvania",State College,Estimate,24514.00
,,Margin of Error,+/-560
"Columbia, SC Metro Area; South Carolina",Columbia,Estimate,25589.00
,,Margin of Error,+/-270
"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area; South Carolina",Myrtle Beach,Estimate,24531.00
,,Margin of Error,+/-512
"Aberdeen, SD Micro Area; South Dakota",Aberdeen,Estimate,24664.00
,,Margin of Error,+/-855
